unit_id	flores_id	item_id	subject_id	task_type	translation_type	src_len_chr	mt_len_chr	tgt_len_chr	src_len_wrd	mt_len_wrd	tgt_len_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	n_pause_geq_300	len_pause_geq_300	n_pause_geq_1000	len_pause_geq_1000	event_time	num_annotations	last_modification_time	n_insert	n_delete	n_substitute	n_shift	tot_shifted_words	tot_edits	hter	cer	bleu	chrf	lang_id	doc_id	time_s	time_m	time_h	time_per_char	time_per_word	key_per_char	words_per_hour	words_per_minute	per_subject_visit_order	src_text	mt_text	tgt_text	aligned_edit
flores101-warmup-tur-3-pe1-3	602	flores101-warmup-33	tur_t1	pe1	pe	143	114.0	114	24	14.0	14	24.746	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24746	1	1642600367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	tur	3	24.746	0.4124	0.0069	0.173	1.0311	0.007	3491.4734	58.1912	12	They did two experiments marking either the DNA in the phage with a radioactive phosphorus or the protein of the phage with radioactive sulfur.	Fajdaki DNA'yı radyoaktif bir fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.	Fajdaki DNA'yı radyoaktif bir fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.	REF:  fajdaki dna'yı radyoaktif bir fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.\nHYP:  fajdaki dna'yı radyoaktif bir fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.\nEVAL:
flores101-warmup-tur-4-ht-1	541	flores101-warmup-41	tur_t1	ht	ht	149		150	28		16	67.557	159	133	0	16	5	1	4	0	0	0	0	20	48831	5	40884	67557	1	1642600367											tur	4	67.557	1.126	0.0188	0.4534	2.4128	1.0671	1492.0734	24.8679	13	The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.		Tibet Budizmi, Buda'nın öğretilerine dayanır, ancak mahayana sevgi yolundan ve Hindistan Yogasının birçok tekniğinden faydalanılarak genişletilmiştir.	
flores101-warmup-tur-4-ht-2	542	flores101-warmup-42	tur_t1	ht	ht	127		105	20		14	26.502	126	95	0	15	5	1	10	0	0	0	0	14	11889	4	6955	26502	1	1642600367											tur	4	26.502	0.4417	0.0074	0.2087	1.3251	0.9921	2716.7761	45.2796	14	In principle the Tibetan Buddhism is very simple. It consists of Kundalini Yoga, meditation and the path of all-embracing love.		Tibet Budizmi'nin ilkesi çok basittir. Kundalini Yoga, meditasyon ve her şeyi kucaklayan sevgiden oluşur.	
flores101-warmup-tur-4-ht-3	543	flores101-warmup-43	tur_t1	ht	ht	147		142	18		16	62.242	164	122	0	16	5	20	1	0	0	0	0	18	46484	7	41633	62242	1	1642600367											tur	4	62.242	1.0374	0.0173	0.4234	3.4579	1.1156	1041.0977	17.3516	15	With Kundalini Yoga the Kundalini energy (enlightenment energy) is awakened through yoga postures, breathing exercises, mantras and visualizations.		Kundalini Yoga ile yoga pozları, nefes egzersizleri, mantralar ve canlandırmalar yoluyla Kundalini enerjisi (aydınlanma enerjisi) uyandırılır.	
flores101-warmup-tur-4-ht-4	544	flores101-warmup-44	tur_t1	ht	ht	203		168	30		19	160.377	185	155	0	18	3	1	8	0	0	0	0	16	139499	7	135067	160377	1	1642600367											tur	4	160.377	2.673	0.0445	0.79	5.3459	0.9113	673.4133	11.2236	16	The center of Tibetan meditation is the Deity Yoga. Through the visualization of various deities the energy channels are cleaned, the chakras are activated and the enlightenment consciousness is created.		Tibet meditasyonunun merkezinde Deity Yoga yer alır. Farklı tanrıların canlandırılmasıyla enerji kanalları temizlenir, çakralar açılır ve aydılanma bilinci oluşturulur.	
flores101-warmup-tur-5-pe2-1	914	flores101-warmup-51	tur_t1	pe2	pe	89	86.0	108	15	13.0	14	101.403	141	74	0	14	0	47	6	0	0	0	0	19	91618	13	87720	101403	1	1642600367	1.0	0.0	6.0	0.0	0.0	7.0	53.846	0.3837	35.0	60.21	tur	5	101.403	1.69	0.0282	1.1394	6.7602	1.5843	532.5286	8.8755	17	An increasingly more popular option for those planning a gap-year is to travel and learn.	Geçiş yılını planlayanlar için giderek daha popüler bir seçenek de seyahat ve öğrenme.	Boşluk yılını planlayanlar için giderek daha popüler hale gelen seçeneklerden biri seyahat edip öğrenmektir.	REF:  geçiş  yılını planlayanlar için giderek daha popüler **** bir   seçenek       de   seyahat ve   öğrenme.\nHYP:  boşluk yılını planlayanlar için giderek daha popüler hale gelen seçeneklerden biri seyahat edip öğrenmektir.\nEVAL: S                                                    I    S     S             S            S    S
flores101-warmup-tur-5-pe2-2	915	flores101-warmup-52	tur_t1	pe2	pe	137	154.0	151	20	18.0	18	220.516	415	220	0	27	2	144	19	0	2	1	0	41	194179	27	187463	220516	1	1642600367	0.0	0.0	16.0	1.0	2.0	17.0	94.444	0.8013	6.23	45.06	tur	5	220.516	3.6753	0.0613	1.6096	11.0258	3.0292	326.5069	5.4418	18	This is especially popular with school leavers, allowing them to take a year out before university, without compromising their education.	Bu uygulama, üniversiteyi bırakanlar için özellikle popüler ve eğitimlerini tehlikeye atmadan bir yıl süreyle üniversiteden geçirmelerine olanak sağlıyor.	Eğitimi tehlikeye atmadan üniversiteye başlamadan önce bir yıl boş bırakılmasını sağlayan bu uygulama özellikle okuldan ayrılanlar arasında popülerdir.	REF:  bu        uygulama,    üniversiteyi bırakanlar için özellikle popüler ve            eğitimlerini   tehlikeye atmadan   bir yıl      süreyle   üniversiteden geçirmelerine olanak   sağlıyor.\nHYP:  eğitimi @ üniversiteye başlamadan   önce       bir  yıl       boş     bırakılmasını sağlayan     [ tehlikeye atmadan ] bu  uygulama özellikle okuldan       ayrılanlar    arasında popülerdir.\nEVAL: S         S            S            S          S    S         S       S             S                                  S   S        S         S             S             S        S
flores101-warmup-tur-5-pe2-3	916	flores101-warmup-53	tur_t1	pe2	pe	145	129.0	126	24	17.0	16	40.905	107	51	0	8	1	43	4	0	0	0	0	11	31217	6	28308	40905	1	1642600367	0.0	1.0	7.0	1.0	2.0	9.0	52.941	0.3566	22.32	59.62	tur	5	40.905	0.6818	0.0114	0.2821	1.7044	0.7379	2112.2112	35.2035	19	In many cases, enrolling on a gap-year course abroad can actually improve your chances of moving into higher education back in your home country.	Pek çok durumda, yurtdışında bir aralık yılı kursuna kaydolmak aslında vatannızda yüksek öğrenime geri dönme şansını artırabilir.	Pek çok durumda, boşluk yılında yurtdışında bir kursa gitmek, ülkenize döndüğünüzde yüksek öğrenime geçme şansını artırabilir.	REF:  pek çok durumda,   yurtdışında bir   aralık yılı      kursuna kaydolmak aslında  vatannızda   yüksek öğrenime geri dönme şansını artırabilir.\nHYP:  pek çok durumda, [ yurtdışında bir ] boşluk yılında @ kursa   gitmek,   ülkenize döndüğünüzde yüksek öğrenime **** geçme şansını artırabilir.\nEVAL:                                      S      S         S       S         S        S                            D    S
flores101-warmup-tur-5-pe2-4	917	flores101-warmup-54	tur_t1	pe2	pe	78	68.0	66	13	9.0	9	7.576	28	15	0	1	0	11	1	0	0	0	0	4	5755	3	5439	7576	1	1642600367	0.0	0.0	1.0	1.0	1.0	2.0	22.222	0.2941	32.47	81.48	tur	5	7.576	0.1263	0.0021	0.0971	0.5828	0.359	6177.4023	102.9567	20	Typically there will be a tuition fee to enroll in these educational programs.	Genelde bu eğitim programlarına kaydolmak için harç ücreti ödenecek.	Bu eğitim programlarına kaydolmak için genelde harç ücreti ödenir.	REF:    genelde   bu eğitim programlarına kaydolmak için   harç ücreti ödenecek.\nHYP:  [ genelde ] bu eğitim programlarına kaydolmak için @ harç ücreti ödenir.\nEVAL:                                                                  S
flores101-warmup-tur-1-ht-1	163	flores101-warmup-11	tur_t2	ht	ht	189		208	29		29	344.41	437	272	0	40	5	92	23	0	2	1	2	60	267083	36	253538	344410	2	1642600367											tur	1	344.41	5.7402	0.0957	1.8223	11.8762	2.3122	303.1271	5.0521	1	In France, voting has traditionally been a low-tech experience: voters isolate themselves in a booth, put a pre-printed sheet of paper indicating their candidate of choice into an envelope.		Fransa'da oy kullanmak geleneksel olarak düşük teknoloji içeren bir deneyimdir: Seçmenler tek başına bir kabine girer ve önceden basılmış bir sayfada seçtikleri adayı belirterek kağıdı bir zarfın içine koyar.	
flores101-warmup-tur-1-ht-2	164	flores101-warmup-12	tur_t2	ht	ht	120		106	20		14	122.026	136	110	0	15	1	2	8	0	0	0	0	21	95662	9	90501	122026	2	1642600367											tur	1	122.026	2.0338	0.0339	1.0169	6.1013	1.1333	590.0382	9.834	2	After officials verify the voter's identity, the voter drops the envelope into the ballot box and signs the voting roll.		Memurlar seçmenin kimliğini doğruladıktan sonra seçmen zarfı oy sandığına atar ve seçmen kütüğünü imzalar.	
flores101-warmup-tur-1-ht-3	165	flores101-warmup-13	tur_t2	ht	ht	62		64	8		8	86.307	141	85	0	9	4	29	14	0	0	0	0	26	63174	11	55391	86307	2	1642600367											tur	1	86.307	1.4384	0.024	1.392	10.7884	2.2742	333.6925	5.5615	3	French electoral law rather strictly codifies the proceedings.		Fransa seçim yasasında işlemler katı bir şekilde düzenlenmiştir.	
flores101-warmup-tur-1-ht-4	166	flores101-warmup-14	tur_t2	ht	ht	228		252	40		30	353.916	707	320	5	41	4	292	33	0	6	6	0	93	289767	49	264929	353916	2	1642600367											tur	1	353.916	5.8986	0.0983	1.5523	8.8479	3.1009	406.8762	6.7813	4	Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.		Seçmen ve gözetmenlerin seçim başladığında sandıklarda zarf bulunmadığına ve usule uygun şekilde sayılıp onaylanan seçmenlerin zarfları dışında hiçbir zarfın sandıklara eklenmediğine tanıklık edebilmesi için seçim sandıkları 1988'den bu yana şeffaftır.	
flores101-warmup-tur-1-ht-5	167	flores101-warmup-15	tur_t2	ht	ht	177		191	25		23	131.9	279	181	0	25	3	63	7	0	0	0	0	23	92836	16	89284	131900	2	1642600367											tur	1	131.9	2.1983	0.0366	0.7452	5.276	1.5763	682.3351	11.3723	5	Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.		Adaylar sürecin her aşamasına tanıklık etmesi için temsilciler gönderebilir. Akşam olduğunda, oylar yüksek denetim altında ve belirli prosedürler takip edilerek gönüllüler tarafından sayılır.	
flores101-warmup-tur-2-pe2-1	319	flores101-warmup-21	tur_t2	pe2	pe	102	111.0	111	13	14.0	13	273.327	278	86	0	13	4	164	9	0	1	1	0	26	244997	18	240508	273327	3	1642600367	1.0	2.0	5.0	2.0	2.0	10.0	71.429	0.6486	12.57	50.24	tur	2	273.327	4.5554	0.0759	2.6797	21.0252	2.7255	171.2235	2.8537	6	Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.	Xinhua, hükümet müfettişlerinin Çarşamba günü iki adet 'kara kutu' uçuş kayıt makinesini bulduklarını bildirdi.	"Xinhua, Çarşamba günü resmi soruşturmacıların, uçuş bilgilerini kaydeden iki ""kara kutu"" bulduklarını bildirdi."	"REF:  xinhua, hükümet müfettişlerinin çarşamba günü   iki   ***** adet                 'kara       kutu'      uçuş     kayıt makinesini bulduklarını bildirdi.\nHYP:  xinhua, ******* *************** çarşamba günü [ iki ] resmi soruşturmacıların, @ bilgilerini kaydeden [ uçuş ] @ ""kara kutu""      bulduklarını bildirdi.\nEVAL:         D       D                                     I     S                    S           S                   S     S"
flores101-warmup-tur-2-pe2-2	320	flores101-warmup-22	tur_t2	pe2	pe	43	49.0	56	7	6.0	6	55.258	52	38	0	0	0	12	2	0	0	0	0	7	45203	3	42490	55258	2	1642600367	0.0	0.0	2.0	0.0	0.0	2.0	33.333	0.3061	43.47	56.26	tur	2	55.258	0.921	0.0153	1.2851	7.894	1.2093	456.0426	7.6007	7	Fellow wrestlers also paid tribute to Luna.	Diğer güreşçiler de Luna'ya saygılarını sundular.	Diğer güreşçiler de Luna'ya hayranlıklarını belirttiler.	REF:  diğer güreşçiler de luna'ya saygılarını     sundular.\nHYP:  diğer güreşçiler de luna'ya hayranlıklarını belirttiler.\nEVAL:                             S               S
flores101-warmup-tur-2-pe2-3	321	flores101-warmup-23	tur_t2	pe2	pe	162	140.0	173	29	21.0	26	276.373	186	94	0	15	3	60	14	0	0	0	0	26	242484	17	237483	276373	3	1642600367	5.0	0.0	8.0	1.0	1.0	14.0	66.667	0.4929	27.56	53.68	tur	2	276.373	4.6062	0.0768	1.706	9.5301	1.1481	377.7504	6.2958	8	"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."""	"Tommy Dreamer, ""Luna Extreme'in ilk Kraliçesiydi. İlk yöneticimydi. Luna iki ayın gecesi öldü. O kadar da benzersiz. Güçlü bir kadın."" dedi."	"Tommy Dreamer, ""Luna ilk Extreme Kraliçesiydi. İlk menajerimdi. Luna iki ayın görüldüğü gece öldü. Tıpkı onun gibi son derece benzersiz bir gecede. Güçlü bir kadındı,"" dedi."	"REF:  tommy dreamer, ""luna   extreme'in   ilk   kraliçesiydi. i̇lk yöneticimydi. luna iki ayın ********* gecesi öldü. ***** **** **** *** o      kadar     da  benzersiz. güçlü bir kadın.""   dedi.\nHYP:  tommy dreamer, ""luna @ extreme    [ ilk ] kraliçesiydi. i̇lk menajerimdi.  luna iki ayın görüldüğü gece   öldü. tıpkı onun gibi son derece benzersiz bir gecede.    güçlü bir kadındı,"" dedi.\nEVAL:                        S                                     S                           I         S            I     I    I    I   S      S         S   S                    S"
flores101-warmup-tur-2-pe2-4	322	flores101-warmup-24	tur_t2	pe2	pe	150	142.0	158	23	20.0	24	144.274	232	101	0	18	6	72	34	0	1	0	0	36	78582	19	70565	144274	3	1642600367	4.0	0.0	6.0	0.0	0.0	10.0	50.0	0.4155	31.47	54.92	tur	2	144.274	2.4046	0.0401	0.9618	6.2728	1.5467	573.908	9.5651	9	"Dustin ""Goldust"" Runnels commented that ""Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place."""	"Dustin ""Goldust"" Runnels, ""Luna ben kadar ürperticiydi... belki daha da... onu seviyorum ve kaybolacaktır... umarım daha iyi bir yerde."" dedi."	"Dustin ""Goldust"" Runnels, ""Luna benim gibi, hatta belki de benden daha sıra dışı biriydi. Onu seviyorum ve özleyeceğim... Umarım daha iyi bir yerdedir,"" dedi."	"REF:  dustin ""goldust"" runnels, ""luna ben   kadar ürperticiydi... belki ** ****** daha **** **** da...    onu seviyorum ve kaybolacaktır... umarım daha iyi bir yerde.""    dedi.\nHYP:  dustin ""goldust"" runnels, ""luna benim gibi, hatta           belki de benden daha sıra dışı biriydi. onu seviyorum ve özleyeceğim...   umarım daha iyi bir yerdedir,"" dedi.\nEVAL:                                 S     S     S                     I  I           I    I    S                         S                                    S"
flores101-warmup-tur-3-pe1-1	600	flores101-warmup-31	tur_t2	pe1	pe	100	99.0	96	17	14.0	13	214.461	72	29	0	4	0	32	7	0	0	0	0	10	204408	4	201873	214461	2	1642600367	0.0	1.0	1.0	0.0	0.0	2.0	14.286	0.0606	64.14	91.07	tur	3	214.461	3.5744	0.0596	2.1446	12.6154	0.72	285.3666	4.7561	10	The Hershey and Chase experiment was one of the leading suggestions that DNA was a genetic material.	Hershey ve Chase deneyi, DNA'nın genetik bir materyal olduğuna dair önde gelen önerilerden biriydi.	Hershey ve Chase deneyi, DNA'nın genetik materyal olduğuna dair önde gelen önermelerden biriydi.	REF:  hershey ve chase deneyi, dna'nın genetik bir materyal olduğuna dair önde gelen önerilerden  biriydi.\nHYP:  hershey ve chase deneyi, dna'nın genetik *** materyal olduğuna dair önde gelen önermelerden biriydi.\nEVAL:                                          D                                     S
flores101-warmup-tur-3-pe1-2	601	flores101-warmup-32	tur_t2	pe1	pe	85	102.0	92	15	13.0	12	149.442	71	28	0	2	0	36	3	0	1	1	0	8	132964	7	132004	149442	3	1642600367	0.0	1.0	4.0	2.0	5.0	7.0	53.846	0.4387	34.79	71.55	tur	3	149.442	2.4907	0.0415	1.7581	9.9628	0.8353	361.3442	6.0224	11	Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium.	Hershey ve Chase, kendi DNA'larını bir bakteriye yerleştirmek için fajları veya virüsleri kullandılar.	Hershey ve Chase, fajlar veya virüsler kullanarak kendi DNA'larını bir bakteriye aktardılar.	REF:  hershey ve chase,   kendi dna'larını bir bakteriye   yerleştirmek için     fajları    veya   virüsleri    kullandılar.\nHYP:  hershey ve chase, [ kendi dna'larını bir bakteriye ] ************ fajlar @ virüsler [ veya ] kullanarak @ aktardılar.\nEVAL:                                                      D            S        S                 S            S
flores101-warmup-tur-3-pe1-3	602	flores101-warmup-33	tur_t2	pe1	pe	143	114.0	110	24	14.0	13	114.617	30	0	0	0	0	29	1	0	0	0	0	1	101863	1	101863	114617	2	1642600367	0.0	1.0	0.0	0.0	0.0	1.0	7.143	0.0351	80.03	96.74	tur	3	114.617	1.9103	0.0318	0.8015	4.7757	0.2098	753.8149	12.5636	12	They did two experiments marking either the DNA in the phage with a radioactive phosphorus or the protein of the phage with radioactive sulfur.	Fajdaki DNA'yı radyoaktif bir fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.	Fajdaki DNA'yı radyoaktif fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.	REF:  fajdaki dna'yı radyoaktif bir fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.\nHYP:  fajdaki dna'yı radyoaktif *** fosforla veya fajın proteinini radyoaktif kükürtle işaretleyerek iki deney yaptılar.\nEVAL:                           D
flores101-warmup-tur-4-ht-1	541	flores101-warmup-41	tur_t2	ht	ht	149		128	28		16	209.912	200	128	0	18	4	31	19	0	0	0	0	31	187102	17	179014	209912	2	1642600367											tur	4	209.912	3.4985	0.0583	1.4088	7.4969	1.3423	480.2012	8.0034	13	The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.		Tibet Budizmi, Buda'nın öğretilerini temel alır, ancak mahayana sevgi yolu ve Hint Yogasındaki birçok teknikle genişletilmiştir.	
